Action,Position,Hand,Pot,P1-Action,P1-Bet,P2-Action,P2-Bet,P3-Action,P3-Bet,P4-Action,P4-Bet,P5-Action,P5-Bet
c,1,5985,350.0,f,0.0,r,200.0,f,0.0,f,0.0,f,0.0
f,2,4929,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,5457,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,5545,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
f,5,6469,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
f,0,6117,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
f,2,6249,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
r,3,881,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,5677,375.0,sb,50.0,bb,100.0,f,0.0,r,225.0,hold,0.0
f,5,3125,375.0,sb,50.0,bb,100.0,f,0.0,r,225.0,f,0.0
f,0,6425,375.0,bb,100.0,f,0.0,r,225.0,f,0.0,f,0.0
f,1,5721,375.0,f,0.0,f,0.0,r,225.0,f,0.0,f,0.0
r,2,45,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,3609,375.0,sb,50.0,bb,100.0,r,225.0,hold,0.0,hold,0.0
f,4,6645,375.0,sb,50.0,bb,100.0,r,225.0,f,0.0,hold,0.0
f,5,7305,375.0,sb,50.0,bb,100.0,r,225.0,f,0.0,f,0.0
f,0,3917,375.0,bb,100.0,r,225.0,f,0.0,f,0.0,f,0.0
f,1,4929,375.0,f,0.0,r,225.0,f,0.0,f,0.0,f,0.0
r,2,705,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,7349,400.0,sb,50.0,bb,100.0,r,250.0,hold,0.0,hold,0.0
r,4,837,400.0,sb,50.0,bb,100.0,r,250.0,f,0.0,hold,0.0
