Raise,Position,Hand,Pot,P1-Action,P1-Bet,P2-Action,P2-Bet,P3-Action,P3-Bet,P4-Action,P4-Bet,P5-Action,P5-Bet
200.0,3,837,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,2,221,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,2,1057,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
225.0,4,2905,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
475.0,5,2113,375.0,sb,50.0,bb,100.0,f,0.0,f,0.0,r,225.0
1550.0,0,1145,1075.0,bb,100.0,f,0.0,f,0.0,r,225.0,r,475.0
300.0,0,5193,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
225.0,4,2465,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
600.0,5,1,375.0,sb,50.0,bb,100.0,f,0.0,f,0.0,r,225.0
200.0,5,441,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,3,133,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
475.0,4,1453,375.0,sb,50.0,bb,100.0,f,0.0,r,225.0,hold,0.0
225.0,2,441,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,4,177,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,4,45,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
775.0,1,749,375.0,f,0.0,f,0.0,f,0.0,r,225.0,f,0.0
200.0,2,1673,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
225.0,2,1717,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,4,4401,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,4,45,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
725.0,0,1541,375.0,bb,100.0,f,0.0,f,0.0,r,225.0,f,0.0
2523.0,1,89,1325.0,r,725.0,f,0.0,f,0.0,r,225.0,f,0.0
225.0,3,1409,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
300.0,0,2685,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
600.0,1,749,450.0,r,300.0,f,0.0,f,0.0,f,0.0,f,0.0
225.0,5,4401,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
200.0,5,1717,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,3,3653,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
725.0,5,45,600.0,sb,50.0,bb,100.0,f,0.0,r,225.0,c,0.0
222.0,5,3477,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
728.0,0,1321,372.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,222.0
225.0,3,2157,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
300.0,0,1981,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
225.0,5,1013,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,4,969,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
200.0,4,177,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,2,1453,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,2,1321,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
225.0,5,3169,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,5,2201,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,4,1321,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
200.0,2,2289,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
222.0,5,89,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
200.0,2,837,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
500.0,3,1,350.0,sb,50.0,bb,100.0,r,200.0,hold,0.0,hold,0.0
225.0,5,221,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,3,353,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
225.0,2,749,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
225.0,4,2025,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,5,2553,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
675.0,0,1849,375.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,225.0
225.0,2,617,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
300.0,0,3081,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
200.0,3,1893,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,4,1497,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,5,1277,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
300.0,0,2817,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
200.0,3,441,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
225.0,2,2245,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
