EQUACOES DIFERENCIAIS B,MAT016,CAD 3 - 211
FUNDAMENTOS DE QUIMICA ANALITICA,QUI051,CAD 3 - 211
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,CAD 3 - 313
FUNDAMENTOS DE SISTEMAS DE INFORMACAO,DCC044,1021
INTRODUCAO A INFORMATICA,DCC601,1023
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,CAD 3 - 406
MATEMATICA,MAT130,CAD 3 - 413
TQJ: TECNOLOGIA CERVEJEIRA,QUI091,1021
ESTATISTICA E PROBABILIDADES,EST031,CAD 3 - 307
CALCULO DIFERENCIAL E INTEGRAL I,MAT001,CAD 3 - 406
TSI: MINERACAO DE REPOSITORIOS DE SOFTWARE,DCC049,2014 DCC
COMPUTACAO GRAFICA,DCC027,CAD 3 - 211
